student_id,teacher_note,label
1,الطالبة متفوقة و متفاعلة مع جميع الأنشطة,low
2,الطالب يظهر دافعية جيدة ويتحسن باستمرار,low
3,الطالبة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
4,الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
5,الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
6,الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته,low
7,الطالبة لديها طاقة إيجابية وتحب المشاركة,low
8,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره,low
9,الطالبة متميزة في التحليل والتفكير النقدي,low
10,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
11,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
12,الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
13,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
14,الطالب يحرص على المشاركة ويظهر روح المبادرة,low
15,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
16,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
17,الطالبة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
18,الدارسة متميزة و متفاعلة مع جميع الأنشطة جداً,low
19,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار تماماً,low
20,يسعدني أن التلميذة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
21,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة جداً,low
22,الطالب يظهر دافعية جيدة تماماً ويتحسن باستمرار,low
23,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره هذا الأسبوع,low
24,الطالب يظهر دافعية جيدة ويتحسن باستمرار هذا الأسبوع,low
25,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
26,الطفلة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
27,الدارس يحرص على المشاركة ويظهر روح المبادرة,low
28,يسعدني أن الطالبة متميزة في التحليل والتفكير النقدي,low
29,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
30,الطفلة تتعاون مع زملائها وتحب العمل الجماعي,low
31,الطفل لديه مهارات تواصل جيدة ويشارك بأفكاره,low
32,لحسن الحظ الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
33,التلميذة متميزة في التحليل والتفكير النقدي,low
34,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي بوضوح,low
35,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا بوضوح,low
36,الطفل يظهر دافعية جيدة ويتحسن باستمرار,low
37,الطالب يشارك بفعالية ويظهر حماسًا للتعلم جداً,low
38,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
39,لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
40,الطفل لديه مهارات تواصل رائعة ويشارك بأفكاره جداً,low
41,من الجيد أن الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
42,الدارسة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
43,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
44,الطالب لديه مهارات تواصل جيدة جداً ويشارك بأفكاره,low
45,الطفلة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
46,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا بوضوح,low
47,الدارسة متفوقة و متفاعلة مع جميع الأنشطة,low
48,الطالب لديه مهارات تواصل جيدة بوضوح ويشارك بأفكاره,low
49,الطالبة متميزة في التحليل والتفكير النقدي جداً,low
50,الطالب يظهر حماس رائعة ويتحسن باستمرار,low
51,يسعدني أن الطالبة تتعاون مع زملائها وتحب العمل الجماعي جداً,low
52,من الجيد أن الطالبة لديها طاقة إيجابية وتحب المشاركة,low
53,لحسن الحظ التلميذة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
54,الدارسة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
55,الطالب يشارك بحماس ويظهر شغفًا بالعلم بوضوح,low
56,الطفلة متميزة في التحليل والتفكير النقدي,low
57,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
58,الطالب يشارك بحماس ويظهر شغفًا بالعلم جداً,low
59,الدارسة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
60,الدارس يشارك في الأنشطة ويميل للتعلم الذاتي بوضوح,low
61,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا بوضوح,low
62,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا جداً,low
63,الطفل يحرص على المشاركة ويظهر روح المبادرة بوضوح,low
64,الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته بوضوح,low
65,التلميذ يشارك في الأنشطة ويميل للتعلم الذاتي,low
66,يسعدني أن الطالبة متميزة في التحليل والتفكير النقدي جداً,low
67,الطالبة لديها طاقة إيجابية وتحب المشاركة تماماً,low
68,الطفلة لديها طاقة إيجابية وتحب المشاركة تماماً,low
69,الطفل يظهر شغف رائعة ويتحسن باستمرار جداً,low
70,من الجيد أن الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
71,لحسن الحظ الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار جداً,low
72,الدارسة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
73,الدارس يساهم في الأنشطة ويميل للتعلم الذاتي,low
74,الطفلة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
75,الدارسة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
76,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
77,يسعدني أن الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
78,الطالب يساهم بحماس ويظهر شغفًا بالعلم,low
79,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
80,الطفل يحرص على المشاركة ويظهر روح المبادرة,low
81,الطالب يحرص على المشاركة ويظهر روح المبادرة جداً,low
82,الطفل ينشط بحماس ويظهر شغفًا بالعلم,low
83,التلميذ يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
84,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
85,التلميذة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
86,الدارس يشارك في الأنشطة ويميل للتعلم الذاتي,low
87,الطالب يحرص على المشاركة ويظهر روح المبادرة بوضوح,low
88,التلميذ لديه مهارات تواصل ممتازة بوضوح ويشارك بأفكاره,low
89,الطفلة متميزة في التحليل والتفكير النقدي بوضوح,low
90,يسعدني أن الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
91,الطفل يشارك بحماس ويظهر شغفًا بالعلم,low
92,الطالبة تتعاون مع زملائها وتحب العمل الجماعي بوضوح,low
93,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
94,الطالبة لديها طاقة إيجابية وتحب المشاركة تماماً,low
95,الطالبة رائعة و متفاعلة مع جميع الأنشطة,low
96,لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
97,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
98,يسعدني أن الطفل يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
99,التلميذ منظم ويظهر تقدمًا ملحوظًا في دراسته خلال الفترة الماضية,low
100,من الجيد أن الدارسة تتعاون مع زملائها وتحب العمل الجماعي,low
101,الطالب يشارك في الحصة لكنه أحيانًا يتشتت بسرعة,moderate
102,الطالبة تحتاج مساعدة إضافية في فهم الدروس,moderate
103,الطالب يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
104,الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
105,الطالب يبذل جهدًا لكنه يجد صعوبة في حل المسائل المعقدة,moderate
106,الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
107,الطالب أحيانًا يتشتت لكنه يحرص على التعلم,moderate
108,الطالبة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
109,الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
110,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات,moderate
111,الطالب لديه دافعية جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
112,الطالبة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
113,الطالب يواجه تحديات في التعبير الكتابي,moderate
114,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي,moderate
115,الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة,moderate
116,الطالبة تحتاج دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
117,الطالب يحتاج متابعة متوسطة في مادة العلوم,moderate
118,الطالب يفتقر إلى متابعة متوسطة في مادة العلوم,moderate
119,الطالب يبذل جهدًا لكنه يتشتت انتباهه عند مواجهة مسائل جديدة,moderate
120,الدارسة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
121,الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
122,الطالب لديه دافعية رائعة لكن يحتاج تنظيمًا أكبر لوقته,moderate
123,الطالب لديه شغف جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
124,الدارس يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة نوعاً ما,moderate
125,الطالبة تحاول بجد لكنها تجد صعوبة قليلاً في القراءة الجهرية,moderate
126,الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
127,الدارس يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
128,التلميذ يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
129,الطالب يبذل جهدًا لكنه يجد مشكلة في حل المسائل المعقدة نوعاً ما,moderate
130,الطالبة تحاول بجد لكنها تجد صعوبة في المطالعة الجهرية,moderate
131,الطالب يواجه تحديات في التعبير الكتابي قليلاً,moderate
132,الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم قليلاً,moderate
133,التلميذ أحياناً يتشتت لكنه يحرص على التعلم قليلاً,moderate
134,الطفلة تحتاج إلى دعم إضافي في مادة الحساب,moderate
135,الدارس يحتاج متابعة متوسطة في مادة العلوم قليلاً,moderate
136,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
137,الطالبة تفتقر إلى وقتًا أطول لاستيعاب بعض المفاهيم إلى حد ما,moderate
138,الطفل يحتاج رعاية متوسطة في مادة العلوم,moderate
139,الطالبة تحتاج مساندة إضافية في فهم الدروس,moderate
140,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
141,الطالبة تخاف في الإجابة وتحتاج إلى تشجيع مستمر إلى حد ما في الآونة الأخيرة,moderate
142,التلميذة تستدعي دعمًا في تطوير مهارات التفكير النقدي,moderate
143,الطالب يحتاج متابعة متوسطة في مادة العلوم إلى حد ما,moderate
144,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات إلى حد ما,moderate
145,الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
146,الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
147,الطفل يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
148,الطفلة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
149,الطفل لديه دافعية جيدة لكن يستدعي تنظيمًا أكبر لوقته مؤخراً,moderate
150,الطالبة تحاول بجد لكنها تجد صعوبة إلى حد ما في القراءة الجهرية,moderate
151,الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر نوعاً ما خلال الفترة الماضية,moderate
152,الطالب أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
153,التلميذ أحيانًا يتشتت انتباهه لكنه يحرص على التعلم,moderate
154,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
155,الطفل يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة إلى حد ما,moderate
156,الطالبة تفتقد للحافز وتحتاج متابعة من الأهل قليلاً,moderate
157,الطالبة تفتقر إلى مساعدة إضافية في فهم الدروس إلى حد ما,moderate
158,الدارس يواجه تحديات في التعبير الكتابي,moderate
159,الطالب لديه شغف جيدة لكن يفتقر إلى تنظيمًا أكبر لوقته,moderate
160,الدارسة تحاول بجد لكنها تجد تحدي في القراءة الجهرية إلى حد ما,moderate
161,الدارس أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
162,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
163,الطالبة تستدعي مساعدة أخرى في فهم الدروس,moderate
164,التلميذة تحتاج مساعدة أخرى في فهم الدروس,moderate
165,الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
166,التلميذة تحتاج عون إضافية في فهم الدروس,moderate
167,الطالب أحيانًا ينشغل لكنه يحرص على التعلم,moderate
168,الطالبة تتأخر في الإجابة وتحتاج إلى تشجيع مستمر,moderate
169,الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات إلى حد ما,moderate
170,الطالب لديه شغف جيدة إلى حد ما لكن يحتاج تنظيمًا أكبر لوقته,moderate
171,الدارس يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
172,الطالبة تفتقر إلى دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
173,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي نوعاً ما,moderate
174,الطالبة تتطلب وقتًا أطول لاستيعاب بعض المفاهيم,moderate
175,الطفل يتفاعل في الحصة لكنه أحيانًا يتشتت بسرعة نوعاً ما,moderate
176,التلميذة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
177,التلميذة تتطلب دعمًا في تطوير مهارات التفكير النقدي,moderate
178,الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة قليلاً,moderate
179,الطالبة تستدعي دعمًا في تطوير مهارات التفكير النقدي,moderate
180,الطالب يحتاج رعاية متوسطة في مادة العلوم,moderate
181,الطالبة تحاول بجد لكنها تجد صعوبة إلى حد ما في القراءة الجهرية,moderate
182,الطالب أحيانًا يتشتت انتباهه لكنه يحرص على التعلم,moderate
183,الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
184,الطالبة تستدعي دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
185,التلميذ أحيانًا يتشتت لكنه يحرص على التعلم,moderate
186,الدارسة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
187,الدارس بعض الأوقات يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
188,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
189,التلميذة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
190,الطالب يبذل جهدًا لكنه يفقد التركيز عند مواجهة مسائل جديدة,moderate
191,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي إلى حد ما,moderate
192,الدارسة تتطلب إلى دعم إضافي في مادة الرياضيات,moderate
193,الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
194,الدارسة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
195,الطالبة تحتاج إلى دعم إضافي في مادة الحساب نوعاً ما,moderate
196,الطالب لديه دافعية جيدة نوعاً ما لكن يحتاج تنظيمًا أكبر لوقته,moderate
197,الطالب يساهم في الحصة لكنه أحيانًا يتشتت انتباهه بسرعة,moderate
198,الدارسة تحتاج مساعدة إضافية في فهم الدروس,moderate
199,التلميذ يبذل جهدًا لكنه ينشغل عند مواجهة مسائل جديدة,moderate
200,التلميذ يشارك في الحصة لكنه أحيانًا يتشتت بسرعة إلى حد ما,moderate
201,الطالبة تعاني من صعوبة كبيرة في التركيز وتحتاج متابعة,high
202,الطالب لا ينجز واجباته بانتظام ويبدو عليه الإحباط,high
203,الطالبة تواجه صعوبات متكررة في القراءة والفهم,high
204,الطالب يعاني من فقدان التركيز معظم الوقت,high
205,الطالبة تعاني من قلة ثقة بالنفس أمام زميلاتها,high
206,الطالب يعاني من قلق شديد يؤثر على مشاركته الصفية,high
207,الطالبة تعاني من ضعف كبير في الكتابة والإملاء,high
208,الطالب يواجه صعوبة في فهم التعليمات البسيطة,high
209,الطالبة لا تنجز واجباتها بانتظام وتبدو عليها علامات القلق,high
210,الطالب يعاني من انسحاب اجتماعي داخل الصف,high
211,الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة,high
212,الطالب يعاني من مشاعر إحباط متكررة,high
213,الطالبة تبدو مرهقة وتفتقر إلى التركيز,high
214,الطالب يعاني من قلة دافعية واضحة ويبدو مكتئبًا,high
215,الطالبة تواجه صعوبات في التنظيم وإدارة الوقت,high
216,الطالب يواجه صعوبة كبيرة في التواصل مع زملائه,high
217,الطالبة تعاني من ضغوط نفسية شديدة تؤثر على أدائها,high
218,الطفل يعاني من مشاعر إحباط متكررة,high
219,الدارسة تعاني من صعوبة للغاية واضحة في التركيز وتحتاج متابعة مؤخراً,high
220,الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة بشدة,high
221,التلميذة لا تحقق واجباتها بانتظام وتبدو عليها علامات القلق,high
222,التلميذ يواجه من قلة دافعية واضحة ويبدو مكتئبًا,high
223,الدارس يعاني من قلق شديد يؤثر على مشاركته الصفية,high
224,الطالبة تواجه مشاكل في التنظيم وإدارة الوقت,high
225,التلميذ يعاني من مشاعر يأس متكررة,high
226,الطالب لا ينجز واجباته بانتظام ويبدو عليه الإحباط خلال الفترة الماضية,high
227,الطالب يعاني من قلة دافعية واضحة ويبدو مكتئبًا للغاية,high
228,الطالب يجد صعوبة في من قلق شديد يؤثر على مشاركته الصفية,high
229,الطالبة تواجه صعوبات في التنظيم وإدارة الوقت كثيراً,high
230,الطالبة تعاني من ضعف واضح في الكتابة والإملاء,high
231,الطالبة تواجه صعوبات في التنظيم وإدارة الوقت للغاية,high
232,الطالب يجد صعوبة جداً في من انزعاج شديد يؤثر على مشاركته الصفية,high
233,الطالبة تبدو مرهقة وتفتقر إلى التركيز في الآونة الأخيرة,high
234,الطالبة تواجه من قلة ثقة بالنفس أمام زميلاتها,high
235,الطالبة تجد صعوبة في من قلة ثقة بالنفس أمام زميلاتها,high
236,التلميذ يواجه عقبة في فهم التعليمات البسيطة,high
237,الدارسة تبدو مرهقة وتفتقر إلى التركيز للغاية,high
238,الطالب يعاني من فقدان التركيز معظم الوقت مؤخراً,high
239,الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة كثيراً,high
240,الطالبة لا تنجز فروضها بانتظام وتبدو عليها علامات القلق,high
241,الطالب يجد صعوبة في من مشاعر إحباط متكررة,high
242,الطفل يعاني من فقدان التركيز معظم الوقت,high
243,الطالب يواجه تحدي كبيرة في التواصل مع زملائه,high
244,الطالبة تعاني من ضعف شديد في الكتابة والإملاء,high
245,الدارس يعاني من قلة دافعية واضحة ويبدو مكتئبًا,high
246,يبدو أن الطالب يواجه صعوبة في فهم التعليمات البسيطة,high
247,الطفلة تواجه عقبات متكررة في القراءة والفهم جداً,high
248,الطالبة تواجه صعوبات في التنظيم وإدارة الوقت بشدة,high
249,الطالب يعاني من قلق شديد يؤثر على مشاركته الصفية كثيراً,high
250,الطالب يتصارع مع من مشاعر إحباط متكررة,high
