student_id,teacher_note,label
251,الدارس يواجه صعوبة كبيرة في التواصل مع زملائه,high
252,التلميذ يعاني من فقدان التركيز معظم الوقت,high
253,الدارس يتصارع مع من مشاعر ضيق متكررة,high
254,للأسف الطالبة تجد صعوبة في من عقبة واضحة في التركيز وتحتاج متابعة,high
255,الطالب لا يحقق واجباته بانتظام ويبدو عليه الإحباط كثيراً,high
256,للأسف الطالب يواجه تحدي شديدة في التواصل مع زملائه,high
257,الطالبة تبدو مرهقة وتفتقر إلى التركيز جداً,high
258,الطالب يواجه صعوبة بشدة كبيرة في التواصل مع زملائه,high
259,الطالب لا يكمل واجباته بانتظام ويبدو عليه الإحباط,high
260,الطالبة لا تنجز فروضها بانتظام وتبدو عليها علامات القلق,high
261,الطالب يواجه من مشاعر إحباط متكررة جداً,high
262,الطالبة تعاني من ضعف كبير في الكتابة والإملاء مؤخراً,high
263,الطفل يعاني من قلة دافعية واضحة ويبدو مكتئبًا,high
264,الطالب يعاني من مشاعر إحباط متكررة كثيراً,high
265,الطالب يواجه صعوبة شديدة في التواصل مع زملائه,high
266,الطالبة تواجه صعوبات في التنظيم وإدارة الوقت للغاية,high
267,الطالب يواجه من قلة دافعية واضحة ويبدو مكتئبًا جداً,high
268,الدارس يواجه صعوبة في فهم التعليمات البسيطة,high
269,الطفل يواجه مشكلة في فهم التعليمات البسيطة,high
270,الطالب يعاني من غياب التركيز معظم الوقت,high
271,الطفل يواجه من انعدام التركيز معظم الوقت هذا الأسبوع,high
272,الطفلة لا تنجز واجباتها بانتظام وتبدو عليها علامات القلق,high
273,الدارس يعاني من مشاعر إحباط متكررة,high
274,التلميذ يعاني من قلق شديد يؤثر على مشاركته الصفية جداً,high
275,الطالبة تعاني من صعوبة للغاية كبيرة في التركيز وتحتاج متابعة,high
276,الطفلة تجد صعوبة في من ضغوط نفسية شديدة تؤثر على أدائها,high
277,الطالب يواجه من انسحاب اجتماعي داخل الصف للغاية,high
278,الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة بشدة في الآونة الأخيرة,high
279,الطفل يواجه صعوبة كبيرة في التواصل مع زملائه,high
280,التلميذة تعاني من قصور واضح في الكتابة والإملاء للغاية,high
281,الدارسة تعاني من قلة ثقة بالنفس أمام زميلاتها,high
282,الطالب يعاني من مشاعر إحباط متكررة بشدة,high
283,الطالب يعاني من مشاعر يأس متكررة,high
284,الطالبة لا تكمل واجباتها بانتظام وتبدو عليها علامات القلق جداً,high
285,الطالبة تعاني من عقبة عظيمة في التركيز وتحتاج متابعة,high
286,الطالبة تتصارع مع من قلة ثقة بالنفس أمام زميلاتها,high
287,الطالب يعاني من قلة شغف واضحة ويبدو مكتئبًا كثيراً,high
288,الطفلة تعاني من نقص كبير في الإنشاء والإملاء للغاية,high
289,الدارس لا ينجز واجباته بانتظام ويبدو عليه الإحباط,high
290,الطالبة تتصارع مع من صعوبة شديدة في التركيز وتحتاج متابعة,high
291,الطالب يعاني من انسحاب اجتماعي داخل الصف مؤخراً,high
292,الطفلة تتعرض لنوبات من القلق تمنعها من المشاركة,high
293,الطالبة تواجه صعوبات متكررة في القراءة والفهم للغاية,high
294,الطفلة تواجه صعوبات متكررة في القراءة والفهم,high
295,الطالب يتصارع مع من قلة رغبة واضحة ويبدو مكتئبًا,high
296,الطالبة تعاني من ضعف كبير في الإنشاء والإملاء,high
297,الطالب يجد صعوبة في من قلة شغف واضحة ويبدو مكتئبًا,high
298,الطفلة تواجه صعوبات في التنظيم وإدارة الوقت,high
299,الطالبة تعاني من ضعف كبير في الإنشاء والإملاء,high
300,التلميذ يواجه صعوبة في فهم التعليمات البسيطة,high
301,الطالبة متفوقة و متفاعلة مع جميع الأنشطة,low
302,الطالب يظهر دافعية جيدة ويتحسن باستمرار,low
303,الطالبة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
304,الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
305,الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
306,الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته,low
307,الطالبة لديها طاقة إيجابية وتحب المشاركة,low
308,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره,low
309,الطالبة متميزة في التحليل والتفكير النقدي,low
310,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
311,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
312,الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
313,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
314,الطالب يحرص على المشاركة ويظهر روح المبادرة,low
315,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
316,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
317,الطالبة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
318,الدارسة متميزة و متفاعلة مع جميع الأنشطة جداً,low
319,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار تماماً,low
320,يسعدني أن التلميذة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
321,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة جداً,low
322,الطالب يظهر دافعية جيدة تماماً ويتحسن باستمرار,low
323,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره هذا الأسبوع,low
324,الطالب يظهر دافعية جيدة ويتحسن باستمرار هذا الأسبوع,low
325,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
326,الطفلة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
327,الدارس يحرص على المشاركة ويظهر روح المبادرة,low
328,يسعدني أن الطالبة متميزة في التحليل والتفكير النقدي,low
329,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
330,الطفلة تتعاون مع زملائها وتحب العمل الجماعي,low
331,الطفل لديه مهارات تواصل جيدة ويشارك بأفكاره,low
332,لحسن الحظ الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
333,التلميذة متميزة في التحليل والتفكير النقدي,low
334,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي بوضوح,low
335,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا بوضوح,low
336,الطفل يظهر دافعية جيدة ويتحسن باستمرار,low
337,الطالب يشارك بفعالية ويظهر حماسًا للتعلم جداً,low
338,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
339,لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
340,الطفل لديه مهارات تواصل رائعة ويشارك بأفكاره جداً,low
341,من الجيد أن الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
342,الدارسة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
343,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
344,الطالب لديه مهارات تواصل جيدة جداً ويشارك بأفكاره,low
345,الطفلة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
346,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا بوضوح,low
347,الدارسة متفوقة و متفاعلة مع جميع الأنشطة,low
348,الطالب لديه مهارات تواصل جيدة بوضوح ويشارك بأفكاره,low
349,الطالبة متميزة في التحليل والتفكير النقدي جداً,low
350,الطالب يظهر حماس رائعة ويتحسن باستمرار,low
351,يسعدني أن الطالبة تتعاون مع زملائها وتحب العمل الجماعي جداً,low
352,من الجيد أن الطالبة لديها طاقة إيجابية وتحب المشاركة,low
353,لحسن الحظ التلميذة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
354,الدارسة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
355,الطالب يشارك بحماس ويظهر شغفًا بالعلم بوضوح,low
356,الطفلة متميزة في التحليل والتفكير النقدي,low
357,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
358,الطالب يشارك بحماس ويظهر شغفًا بالعلم جداً,low
359,الدارسة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
360,الدارس يشارك في الأنشطة ويميل للتعلم الذاتي بوضوح,low
361,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا بوضوح,low
362,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا جداً,low
363,الطفل يحرص على المشاركة ويظهر روح المبادرة بوضوح,low
364,الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته بوضوح,low
365,التلميذ يشارك في الأنشطة ويميل للتعلم الذاتي,low
366,يسعدني أن الطالبة متميزة في التحليل والتفكير النقدي جداً,low
367,الطالبة لديها طاقة إيجابية وتحب المشاركة تماماً,low
368,الطفلة لديها طاقة إيجابية وتحب المشاركة تماماً,low
369,الطفل يظهر شغف رائعة ويتحسن باستمرار جداً,low
370,من الجيد أن الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
371,لحسن الحظ الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار جداً,low
372,الدارسة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
373,الدارس يساهم في الأنشطة ويميل للتعلم الذاتي,low
374,الطفلة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
375,الدارسة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
376,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
377,يسعدني أن الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
378,الطالب يساهم بحماس ويظهر شغفًا بالعلم,low
379,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
380,الطفل يحرص على المشاركة ويظهر روح المبادرة,low
381,الطالب يحرص على المشاركة ويظهر روح المبادرة جداً,low
382,الطفل ينشط بحماس ويظهر شغفًا بالعلم,low
383,التلميذ يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
384,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
385,التلميذة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
386,الدارس يشارك في الأنشطة ويميل للتعلم الذاتي,low
387,الطالب يحرص على المشاركة ويظهر روح المبادرة بوضوح,low
388,التلميذ لديه مهارات تواصل ممتازة بوضوح ويشارك بأفكاره,low
389,الطفلة متميزة في التحليل والتفكير النقدي بوضوح,low
390,يسعدني أن الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
391,الطفل يشارك بحماس ويظهر شغفًا بالعلم,low
392,الطالبة تتعاون مع زملائها وتحب العمل الجماعي بوضوح,low
393,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
394,الطالبة لديها طاقة إيجابية وتحب المشاركة تماماً,low
395,الطالبة رائعة و متفاعلة مع جميع الأنشطة,low
396,لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
397,التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
398,يسعدني أن الطفل يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
399,التلميذ منظم ويظهر تقدمًا ملحوظًا في دراسته خلال الفترة الماضية,low
400,من الجيد أن الدارسة تتعاون مع زملائها وتحب العمل الجماعي,low
401,الطالب يشارك في الحصة لكنه أحيانًا يتشتت بسرعة,moderate
402,الطالبة تحتاج مساعدة إضافية في فهم الدروس,moderate
403,الطالب يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
404,الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
405,الطالب يبذل جهدًا لكنه يجد صعوبة في حل المسائل المعقدة,moderate
406,الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
407,الطالب أحيانًا يتشتت لكنه يحرص على التعلم,moderate
408,الطالبة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
409,الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
410,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات,moderate
411,الطالب لديه دافعية جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
412,الطالبة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
413,الطالب يواجه تحديات في التعبير الكتابي,moderate
414,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي,moderate
415,الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة,moderate
416,الطالبة تحتاج دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
417,الطالب يحتاج متابعة متوسطة في مادة العلوم,moderate
418,الطالب يفتقر إلى متابعة متوسطة في مادة العلوم,moderate
419,الطالب يبذل جهدًا لكنه يتشتت انتباهه عند مواجهة مسائل جديدة,moderate
420,الدارسة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
421,الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
422,الطالب لديه دافعية رائعة لكن يحتاج تنظيمًا أكبر لوقته,moderate
423,الطالب لديه شغف جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
424,الدارس يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة نوعاً ما,moderate
425,الطالبة تحاول بجد لكنها تجد صعوبة قليلاً في القراءة الجهرية,moderate
426,الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
427,الدارس يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
428,التلميذ يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
429,الطالب يبذل جهدًا لكنه يجد مشكلة في حل المسائل المعقدة نوعاً ما,moderate
430,الطالبة تحاول بجد لكنها تجد صعوبة في المطالعة الجهرية,moderate
431,الطالب يواجه تحديات في التعبير الكتابي قليلاً,moderate
432,الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم قليلاً,moderate
433,التلميذ أحياناً يتشتت لكنه يحرص على التعلم قليلاً,moderate
434,الطفلة تحتاج إلى دعم إضافي في مادة الحساب,moderate
435,الدارس يحتاج متابعة متوسطة في مادة العلوم قليلاً,moderate
436,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
437,الطالبة تفتقر إلى وقتًا أطول لاستيعاب بعض المفاهيم إلى حد ما,moderate
438,الطفل يحتاج رعاية متوسطة في مادة العلوم,moderate
439,الطالبة تحتاج مساندة إضافية في فهم الدروس,moderate
440,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
441,الطالبة تخاف في الإجابة وتحتاج إلى تشجيع مستمر إلى حد ما في الآونة الأخيرة,moderate
442,التلميذة تستدعي دعمًا في تطوير مهارات التفكير النقدي,moderate
443,الطالب يحتاج متابعة متوسطة في مادة العلوم إلى حد ما,moderate
444,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات إلى حد ما,moderate
445,الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
446,الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
447,الطفل يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
448,الطفلة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
449,الطفل لديه دافعية جيدة لكن يستدعي تنظيمًا أكبر لوقته مؤخراً,moderate
450,الطالبة تحاول بجد لكنها تجد صعوبة إلى حد ما في القراءة الجهرية,moderate
451,الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر نوعاً ما خلال الفترة الماضية,moderate
452,الطالب أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
453,التلميذ أحيانًا يتشتت انتباهه لكنه يحرص على التعلم,moderate
454,الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
455,الطفل يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة إلى حد ما,moderate
456,الطالبة تفتقد للحافز وتحتاج متابعة من الأهل قليلاً,moderate
457,الطالبة تفتقر إلى مساعدة إضافية في فهم الدروس إلى حد ما,moderate
458,الدارس يواجه تحديات في التعبير الكتابي,moderate
459,الطالب لديه شغف جيدة لكن يفتقر إلى تنظيمًا أكبر لوقته,moderate
460,الدارسة تحاول بجد لكنها تجد تحدي في القراءة الجهرية إلى حد ما,moderate
461,الدارس أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
462,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
463,الطالبة تستدعي مساعدة أخرى في فهم الدروس,moderate
464,التلميذة تحتاج مساعدة أخرى في فهم الدروس,moderate
465,الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
466,التلميذة تحتاج عون إضافية في فهم الدروس,moderate
467,الطالب أحيانًا ينشغل لكنه يحرص على التعلم,moderate
468,الطالبة تتأخر في الإجابة وتحتاج إلى تشجيع مستمر,moderate
469,الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات إلى حد ما,moderate
470,الطالب لديه شغف جيدة إلى حد ما لكن يحتاج تنظيمًا أكبر لوقته,moderate
471,الدارس يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
472,الطالبة تفتقر إلى دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
473,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي نوعاً ما,moderate
474,الطالبة تتطلب وقتًا أطول لاستيعاب بعض المفاهيم,moderate
475,الطفل يتفاعل في الحصة لكنه أحيانًا يتشتت بسرعة نوعاً ما,moderate
476,التلميذة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
477,التلميذة تتطلب دعمًا في تطوير مهارات التفكير النقدي,moderate
478,الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة قليلاً,moderate
479,الطالبة تستدعي دعمًا في تطوير مهارات التفكير النقدي,moderate
480,الطالب يحتاج رعاية متوسطة في مادة العلوم,moderate
481,الطالبة تحاول بجد لكنها تجد صعوبة إلى حد ما في القراءة الجهرية,moderate
482,الطالب أحيانًا يتشتت انتباهه لكنه يحرص على التعلم,moderate
483,الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
484,الطالبة تستدعي دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
485,التلميذ أحيانًا يتشتت لكنه يحرص على التعلم,moderate
486,الدارسة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
487,الدارس بعض الأوقات يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
488,الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
489,التلميذة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
490,الطالب يبذل جهدًا لكنه يفقد التركيز عند مواجهة مسائل جديدة,moderate
491,الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي إلى حد ما,moderate
492,الدارسة تتطلب إلى دعم إضافي في مادة الرياضيات,moderate
493,الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
494,الدارسة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
495,الطالبة تحتاج إلى دعم إضافي في مادة الحساب نوعاً ما,moderate
496,الطالب لديه دافعية جيدة نوعاً ما لكن يحتاج تنظيمًا أكبر لوقته,moderate
497,الطالب يساهم في الحصة لكنه أحيانًا يتشتت انتباهه بسرعة,moderate
498,الدارسة تحتاج مساعدة إضافية في فهم الدروس,moderate
499,التلميذ يبذل جهدًا لكنه ينشغل عند مواجهة مسائل جديدة,moderate
500,التلميذ يشارك في الحصة لكنه أحيانًا يتشتت بسرعة إلى حد ما,moderate
